"MODULE_SN","PHM_THRESHOLDS_SK","NODETYPE","ERRORCODE","NODEID","INSTANCEID"
"ACP030",110,"IOM","0405","1","1"
"ACP075",110,"IOM","0405","1","1"
"ACP013",110,"IOM","0405","1","1"
"ACP087",110,"IOM","0405","1","1"
"ACP136",110,"IOM","0405","1","1"
"ACP083",110,"IOM","0405","1","1"
"ACP083",110,"IOM","0405","44","2"
"ACP019",110,"IOM","0405","1","1"
"ACP036",110,"IOM","0405","1","1"
"ACP067",110,"IOM","0405","1","1"
"ACP179",110,"IOM","0405","1","1"
"ACP138",110,"IOM","0405","1","1"
"ACP149",110,"IOM","0405","1","1"
"ACP070",110,"IOM","0405","1","1"
"ACP093",110,"IOM","0405","1","1"
"ACP110",110,"IOM","0405","1","1"
"ACP101",110,"IOM","0405","1","1"
"ACP158",110,"IOM","0405","1","1"
"ACP145",110,"IOM","0405","1","1"
"ACP124",110,"IOM","0405","1","1"
"ACP021",110,"IOM","0405","1","1"
"ACP072",110,"IOM","0405","1","1"
"ACP011",110,"IOM","0405","1","1"
"ACP183",110,"IOM","0405","1","1"
"ACP156",110,"IOM","0405","1","1"
"ACP043",110,"IOM","0405","1","1"
"ACP161",110,"IOM","0405","1","1"
"ACP202",110,"IOM","0405","1","1"
"ACP042",110,"IOM","0405","1","1"
"ACP027",110,"IOM","0405","14","2"
"ACP027",110,"IOM","0405","1","1"
"ACP039",110,"IOM","0405","1","1"
"ACP071",110,"IOM","0405","1","1"
"ACP007",110,"IOM","0405","1","1"
"ACP080",110,"IOM","0405","1","1"
"ACP176",110,"IOM","0405","1","1"
"ACP128",110,"IOM","0405","1","1"
"ACP128",110,"IOM","0405","25","2"
"ACP079",110,"IOM","0405","1","1"
"ACP150",110,"IOM","0405","1","1"
"ACP165",110,"IOM","0405","1","1"
"ACP170",110,"IOM","0405","1","1"
"ACP049",110,"IOM","0405","1","1"
"ACP132",110,"IOM","0405","1","1"
"ACP074",110,"IOM","0405","1","1"
"ACP015",110,"IOM","0405","1","1"
"ACP015",110,"IOM","0405","2","2"
"ACP120",110,"IOM","0405","1","1"
"ACP198",110,"IOM","0405","1","1"
"ACP175",110,"IOM","0405","1","1"
"ACP105",110,"IOM","0405","1","1"
"ACP031",110,"IOM","0405","1","1"
"ACP045",110,"IOM","0405","1","1"
"ACP210",110,"IOM","0405","1","1"
"ACP121",110,"IOM","0405","1","1"
"ACP186",110,"IOM","0405","1","1"
"ACP094",110,"IOM","0405","1","1"
"ACP097",110,"IOM","0405","1","1"
"ACP203",110,"IOM","0405","1","1"
"ACP185",110,"IOM","0405","1","1"
"ACP064",110,"IOM","0405","1","1"
"ACP055",110,"IOM","0405","1","1"
"ACP177",110,"IOM","0405","2","2"
"ACP177",110,"IOM","0405","1","1"
"ACP078",110,"IOM","0405","1","1"
"ACP143",110,"IOM","0405","1","1"
"ACP065",110,"IOM","0405","1","1"
"ACP033",110,"IOM","0405","1","1"
"ACP193",110,"IOM","0405","1","1"
"ACP191",110,"IOM","0405","1","1"
"ACP159",110,"IOM","0405","1","1"
"ACP004",110,"IOM","0405","1","1"
"ACP201",110,"IOM","0405","1","1"
"ACP002",110,"IOM","0405","1","1"
"ACP002",110,"IOM","0405","14","2"
"ACP040",110,"IOM","0405","1","1"
"ACP178",110,"IOM","0405","1","1"
"ACP269",110,"IOM","0405","1","1"
"ACP023",110,"IOM","0405","1","1"
"ACP111",110,"IOM","0405","1","1"
"ACP081",110,"IOM","0405","1","1"
"ACP030",110,"IOM","0405","1","1"
"ACP075",110,"IOM","0405","1","1"
"ACP013",110,"IOM","0405","1","1"
"ACP087",110,"IOM","0405","1","1"
"ACP136",110,"IOM","0405","1","1"
"ACP083",110,"IOM","0405","1","1"
"ACP083",110,"IOM","0405","44","2"
"ACP019",110,"IOM","0405","1","1"
"ACP036",110,"IOM","0405","1","1"
"ACP067",110,"IOM","0405","1","1"
"ACP179",110,"IOM","0405","1","1"
"ACP138",110,"IOM","0405","1","1"
"ACP149",110,"IOM","0405","1","1"
"ACP070",110,"IOM","0405","1","1"
"ACP093",110,"IOM","0405","1","1"
"ACP110",110,"IOM","0405","1","1"
"ACP101",110,"IOM","0405","1","1"
"ACP158",110,"IOM","0405","1","1"
"ACP145",110,"IOM","0405","1","1"
"ACP124",110,"IOM","0405","1","1"
"ACP021",110,"IOM","0405","1","1"
"ACP072",110,"IOM","0405","1","1"
"ACP011",110,"IOM","0405","1","1"
"ACP183",110,"IOM","0405","1","1"
"ACP156",110,"IOM","0405","1","1"
"ACP043",110,"IOM","0405","1","1"
"ACP161",110,"IOM","0405","1","1"
"ACP202",110,"IOM","0405","1","1"
"ACP042",110,"IOM","0405","1","1"
"ACP027",110,"IOM","0405","14","2"
"ACP027",110,"IOM","0405","1","1"
"ACP039",110,"IOM","0405","1","1"
"ACP071",110,"IOM","0405","1","1"
"ACP007",110,"IOM","0405","1","1"
"ACP080",110,"IOM","0405","1","1"
"ACP176",110,"IOM","0405","1","1"
"ACP128",110,"IOM","0405","1","1"
"ACP128",110,"IOM","0405","25","2"
"ACP079",110,"IOM","0405","1","1"
"ACP150",110,"IOM","0405","1","1"
"ACP165",110,"IOM","0405","1","1"
"ACP170",110,"IOM","0405","1","1"
"ACP049",110,"IOM","0405","1","1"
"ACP132",110,"IOM","0405","1","1"
"ACP074",110,"IOM","0405","1","1"
"ACP015",110,"IOM","0405","1","1"
"ACP015",110,"IOM","0405","2","2"
"ACP120",110,"IOM","0405","1","1"
"ACP198",110,"IOM","0405","1","1"
"ACP175",110,"IOM","0405","1","1"
"ACP105",110,"IOM","0405","1","1"
"ACP031",110,"IOM","0405","1","1"
"ACP045",110,"IOM","0405","1","1"
"ACP210",110,"IOM","0405","1","1"
"ACP121",110,"IOM","0405","1","1"
"ACP186",110,"IOM","0405","1","1"
"ACP094",110,"IOM","0405","1","1"
"ACP097",110,"IOM","0405","1","1"
"ACP203",110,"IOM","0405","1","1"
"ACP185",110,"IOM","0405","1","1"
"ACP064",110,"IOM","0405","1","1"
"ACP055",110,"IOM","0405","1","1"
"ACP177",110,"IOM","0405","2","2"
"ACP177",110,"IOM","0405","1","1"
"ACP078",110,"IOM","0405","1","1"
"ACP143",110,"IOM","0405","1","1"
"ACP065",110,"IOM","0405","1","1"
"ACP033",110,"IOM","0405","1","1"
"ACP193",110,"IOM","0405","1","1"
"ACP191",110,"IOM","0405","1","1"
"ACP159",110,"IOM","0405","1","1"
"ACP004",110,"IOM","0405","1","1"
"ACP201",110,"IOM","0405","1","1"
"ACP002",110,"IOM","0405","1","1"
"ACP002",110,"IOM","0405","14","2"
"ACP040",110,"IOM","0405","1","1"
"ACP178",110,"IOM","0405","1","1"
"ACP269",110,"IOM","0405","1","1"
"ACP023",110,"IOM","0405","1","1"
"ACP111",110,"IOM","0405","1","1"
"ACP081",110,"IOM","0405","1","1"
"ACP030",110,"IOM","0405","1","1"
"ACP075",110,"IOM","0405","1","1"
"ACP013",110,"IOM","0405","1","1"
"ACP087",110,"IOM","0405","1","1"
"ACP136",110,"IOM","0405","1","1"
"ACP083",110,"IOM","0405","1","1"
"ACP083",110,"IOM","0405","44","2"
"ACP019",110,"IOM","0405","1","1"
"ACP036",110,"IOM","0405","1","1"
"ACP067",110,"IOM","0405","1","1"
"ACP179",110,"IOM","0405","1","1"
"ACP138",110,"IOM","0405","1","1"
"ACP149",110,"IOM","0405","1","1"
"ACP070",110,"IOM","0405","1","1"
"ACP093",110,"IOM","0405","1","1"
"ACP110",110,"IOM","0405","1","1"
"ACP101",110,"IOM","0405","1","1"
"ACP158",110,"IOM","0405","1","1"
"ACP145",110,"IOM","0405","1","1"
"ACP124",110,"IOM","0405","1","1"
"ACP021",110,"IOM","0405","1","1"
"ACP072",110,"IOM","0405","1","1"
"ACP011",110,"IOM","0405","1","1"
"ACP183",110,"IOM","0405","1","1"
"ACP156",110,"IOM","0405","1","1"
"ACP043",110,"IOM","0405","1","1"
"ACP161",110,"IOM","0405","1","1"
"ACP202",110,"IOM","0405","1","1"
"ACP042",110,"IOM","0405","1","1"
"ACP027",110,"IOM","0405","14","2"
"ACP027",110,"IOM","0405","1","1"
"ACP039",110,"IOM","0405","1","1"
"ACP071",110,"IOM","0405","1","1"
"ACP007",110,"IOM","0405","1","1"
"ACP080",110,"IOM","0405","1","1"
"ACP176",110,"IOM","0405","1","1"
"ACP128",110,"IOM","0405","1","1"
"ACP128",110,"IOM","0405","25","2"
"ACP079",110,"IOM","0405","1","1"
"ACP150",110,"IOM","0405","1","1"
"ACP165",110,"IOM","0405","1","1"
"ACP170",110,"IOM","0405","1","1"
"ACP049",110,"IOM","0405","1","1"
"ACP132",110,"IOM","0405","1","1"
"ACP074",110,"IOM","0405","1","1"
"ACP015",110,"IOM","0405","1","1"
"ACP015",110,"IOM","0405","2","2"
"ACP120",110,"IOM","0405","1","1"
"ACP198",110,"IOM","0405","1","1"
"ACP175",110,"IOM","0405","1","1"
"ACP105",110,"IOM","0405","1","1"
"ACP031",110,"IOM","0405","1","1"
"ACP045",110,"IOM","0405","1","1"
"ACP210",110,"IOM","0405","1","1"
"ACP121",110,"IOM","0405","1","1"
"ACP186",110,"IOM","0405","1","1"
"ACP094",110,"IOM","0405","1","1"
"ACP097",110,"IOM","0405","1","1"
"ACP203",110,"IOM","0405","1","1"
"ACP185",110,"IOM","0405","1","1"
"ACP064",110,"IOM","0405","1","1"
"ACP055",110,"IOM","0405","1","1"
"ACP177",110,"IOM","0405","2","2"
"ACP177",110,"IOM","0405","1","1"
"ACP078",110,"IOM","0405","1","1"
"ACP143",110,"IOM","0405","1","1"
"ACP065",110,"IOM","0405","1","1"
"ACP033",110,"IOM","0405","1","1"
"ACP193",110,"IOM","0405","1","1"
"ACP191",110,"IOM","0405","1","1"
"ACP159",110,"IOM","0405","1","1"
"ACP004",110,"IOM","0405","1","1"
"ACP201",110,"IOM","0405","1","1"
"ACP002",110,"IOM","0405","1","1"
"ACP002",110,"IOM","0405","14","2"
"ACP040",110,"IOM","0405","1","1"
"ACP178",110,"IOM","0405","1","1"
"ACP269",110,"IOM","0405","1","1"
"ACP023",110,"IOM","0405","1","1"
"ACP111",110,"IOM","0405","1","1"
"ACP081",110,"IOM","0405","1","1"
"ACP030",110,"IOM","0405","1","1"
"ACP075",110,"IOM","0405","1","1"
"ACP013",110,"IOM","0405","1","1"
"ACP087",110,"IOM","0405","1","1"
"ACP136",110,"IOM","0405","1","1"
"ACP083",110,"IOM","0405","1","1"
"ACP083",110,"IOM","0405","44","2"
"ACP019",110,"IOM","0405","1","1"
"ACP036",110,"IOM","0405","1","1"
"ACP067",110,"IOM","0405","1","1"
"ACP179",110,"IOM","0405","1","1"
"ACP138",110,"IOM","0405","1","1"
"ACP149",110,"IOM","0405","1","1"
"ACP070",110,"IOM","0405","1","1"
"ACP093",110,"IOM","0405","1","1"
"ACP110",110,"IOM","0405","1","1"
"ACP101",110,"IOM","0405","1","1"
"ACP158",110,"IOM","0405","1","1"
"ACP145",110,"IOM","0405","1","1"
"ACP124",110,"IOM","0405","1","1"
"ACP021",110,"IOM","0405","1","1"
"ACP072",110,"IOM","0405","1","1"
"ACP011",110,"IOM","0405","1","1"
"ACP183",110,"IOM","0405","1","1"
"ACP156",110,"IOM","0405","1","1"
"ACP043",110,"IOM","0405","1","1"
"ACP161",110,"IOM","0405","1","1"
"ACP202",110,"IOM","0405","1","1"
"ACP042",110,"IOM","0405","1","1"
"ACP027",110,"IOM","0405","14","2"
"ACP027",110,"IOM","0405","1","1"
"ACP039",110,"IOM","0405","1","1"
"ACP071",110,"IOM","0405","1","1"
"ACP007",110,"IOM","0405","1","1"
"ACP080",110,"IOM","0405","1","1"
"ACP176",110,"IOM","0405","1","1"
"ACP128",110,"IOM","0405","1","1"
"ACP128",110,"IOM","0405","25","2"
"ACP079",110,"IOM","0405","1","1"
"ACP150",110,"IOM","0405","1","1"
"ACP165",110,"IOM","0405","1","1"
"ACP170",110,"IOM","0405","1","1"
"ACP049",110,"IOM","0405","1","1"
"ACP132",110,"IOM","0405","1","1"
"ACP074",110,"IOM","0405","1","1"
"ACP015",110,"IOM","0405","1","1"
"ACP015",110,"IOM","0405","2","2"
"ACP120",110,"IOM","0405","1","1"
"ACP198",110,"IOM","0405","1","1"
"ACP175",110,"IOM","0405","1","1"
"ACP105",110,"IOM","0405","1","1"
"ACP031",110,"IOM","0405","1","1"
"ACP045",110,"IOM","0405","1","1"
"ACP210",110,"IOM","0405","1","1"
"ACP121",110,"IOM","0405","1","1"
"ACP186",110,"IOM","0405","1","1"
"ACP094",110,"IOM","0405","1","1"
"ACP097",110,"IOM","0405","1","1"
"ACP203",110,"IOM","0405","1","1"
"ACP185",110,"IOM","0405","1","1"
"ACP064",110,"IOM","0405","1","1"
"ACP055",110,"IOM","0405","1","1"
"ACP177",110,"IOM","0405","2","2"
"ACP177",110,"IOM","0405","1","1"
"ACP078",110,"IOM","0405","1","1"
"ACP143",110,"IOM","0405","1","1"
"ACP065",110,"IOM","0405","1","1"
"ACP033",110,"IOM","0405","1","1"
"ACP193",110,"IOM","0405","1","1"
"ACP191",110,"IOM","0405","1","1"
"ACP159",110,"IOM","0405","1","1"
"ACP004",110,"IOM","0405","1","1"
"ACP201",110,"IOM","0405","1","1"
"ACP002",110,"IOM","0405","1","1"
"ACP002",110,"IOM","0405","14","2"
"ACP040",110,"IOM","0405","1","1"
"ACP178",110,"IOM","0405","1","1"
"ACP269",110,"IOM","0405","1","1"
"ACP023",110,"IOM","0405","1","1"
"ACP111",110,"IOM","0405","1","1"
"ACP081",110,"IOM","0405","1","1"
"ACP030",110,"IOM","0405","1","1"
"ACP075",110,"IOM","0405","1","1"
"ACP013",110,"IOM","0405","1","1"
"ACP087",110,"IOM","0405","1","1"
"ACP136",110,"IOM","0405","1","1"
"ACP083",110,"IOM","0405","1","1"
"ACP083",110,"IOM","0405","44","2"
"ACP019",110,"IOM","0405","1","1"
"ACP036",110,"IOM","0405","1","1"
"ACP067",110,"IOM","0405","1","1"
"ACP179",110,"IOM","0405","1","1"
"ACP138",110,"IOM","0405","1","1"
"ACP149",110,"IOM","0405","1","1"
"ACP070",110,"IOM","0405","1","1"
"ACP093",110,"IOM","0405","1","1"
"ACP110",110,"IOM","0405","1","1"
"ACP101",110,"IOM","0405","1","1"
"ACP158",110,"IOM","0405","1","1"
"ACP145",110,"IOM","0405","1","1"
"ACP124",110,"IOM","0405","1","1"
"ACP021",110,"IOM","0405","1","1"
"ACP072",110,"IOM","0405","1","1"
"ACP011",110,"IOM","0405","1","1"
"ACP183",110,"IOM","0405","1","1"
"ACP156",110,"IOM","0405","1","1"
"ACP043",110,"IOM","0405","1","1"
"ACP161",110,"IOM","0405","1","1"
"ACP202",110,"IOM","0405","1","1"
"ACP042",110,"IOM","0405","1","1"
"ACP027",110,"IOM","0405","14","2"
"ACP027",110,"IOM","0405","1","1"
"ACP039",110,"IOM","0405","1","1"
"ACP071",110,"IOM","0405","1","1"
"ACP007",110,"IOM","0405","1","1"
"ACP080",110,"IOM","0405","1","1"
"ACP176",110,"IOM","0405","1","1"
"ACP128",110,"IOM","0405","1","1"
"ACP128",110,"IOM","0405","25","2"
"ACP079",110,"IOM","0405","1","1"
"ACP150",110,"IOM","0405","1","1"
"ACP165",110,"IOM","0405","1","1"
"ACP170",110,"IOM","0405","1","1"
"ACP049",110,"IOM","0405","1","1"
"ACP132",110,"IOM","0405","1","1"
"ACP074",110,"IOM","0405","1","1"
"ACP015",110,"IOM","0405","1","1"
"ACP015",110,"IOM","0405","2","2"
"ACP120",110,"IOM","0405","1","1"
"ACP198",110,"IOM","0405","1","1"
"ACP175",110,"IOM","0405","1","1"
"ACP105",110,"IOM","0405","1","1"
"ACP031",110,"IOM","0405","1","1"
"ACP045",110,"IOM","0405","1","1"
"ACP210",110,"IOM","0405","1","1"
"ACP121",110,"IOM","0405","1","1"
"ACP186",110,"IOM","0405","1","1"
"ACP094",110,"IOM","0405","1","1"
"ACP097",110,"IOM","0405","1","1"
"ACP203",110,"IOM","0405","1","1"
"ACP185",110,"IOM","0405","1","1"
"ACP064",110,"IOM","0405","1","1"
"ACP055",110,"IOM","0405","1","1"
"ACP177",110,"IOM","0405","2","2"
"ACP177",110,"IOM","0405","1","1"
"ACP078",110,"IOM","0405","1","1"
"ACP143",110,"IOM","0405","1","1"
"ACP065",110,"IOM","0405","1","1"
"ACP033",110,"IOM","0405","1","1"
"ACP193",110,"IOM","0405","1","1"
"ACP191",110,"IOM","0405","1","1"
"ACP159",110,"IOM","0405","1","1"
"ACP004",110,"IOM","0405","1","1"
"ACP201",110,"IOM","0405","1","1"
"ACP002",110,"IOM","0405","1","1"
"ACP002",110,"IOM","0405","14","2"
"ACP040",110,"IOM","0405","1","1"
"ACP178",110,"IOM","0405","1","1"
"ACP269",110,"IOM","0405","1","1"
"ACP023",110,"IOM","0405","1","1"
"ACP111",110,"IOM","0405","1","1"
"ACP081",110,"IOM","0405","1","1"
"ACP030",110,"IOM","0405","1","1"
"ACP075",110,"IOM","0405","1","1"
"ACP013",110,"IOM","0405","1","1"
"ACP087",110,"IOM","0405","1","1"
"ACP136",110,"IOM","0405","1","1"
"ACP083",110,"IOM","0405","1","1"
"ACP083",110,"IOM","0405","44","2"
"ACP019",110,"IOM","0405","1","1"
"ACP036",110,"IOM","0405","1","1"
"ACP067",110,"IOM","0405","1","1"
"ACP179",110,"IOM","0405","1","1"
"ACP138",110,"IOM","0405","1","1"
"ACP149",110,"IOM","0405","1","1"
"ACP070",110,"IOM","0405","1","1"
"ACP093",110,"IOM","0405","1","1"
"ACP110",110,"IOM","0405","1","1"
"ACP101",110,"IOM","0405","1","1"
"ACP158",110,"IOM","0405","1","1"
"ACP145",110,"IOM","0405","1","1"
"ACP124",110,"IOM","0405","1","1"
"ACP021",110,"IOM","0405","1","1"
"ACP072",110,"IOM","0405","1","1"
"ACP011",110,"IOM","0405","1","1"
"ACP183",110,"IOM","0405","1","1"
"ACP156",110,"IOM","0405","1","1"
"ACP043",110,"IOM","0405","1","1"
"ACP161",110,"IOM","0405","1","1"
"ACP202",110,"IOM","0405","1","1"
"ACP042",110,"IOM","0405","1","1"
"ACP027",110,"IOM","0405","14","2"
"ACP027",110,"IOM","0405","1","1"
"ACP039",110,"IOM","0405","1","1"
"ACP071",110,"IOM","0405","1","1"
"ACP007",110,"IOM","0405","1","1"
"ACP080",110,"IOM","0405","1","1"
"ACP176",110,"IOM","0405","1","1"
"ACP128",110,"IOM","0405","1","1"
"ACP128",110,"IOM","0405","25","2"
"ACP079",110,"IOM","0405","1","1"
"ACP150",110,"IOM","0405","1","1"
"ACP165",110,"IOM","0405","1","1"
"ACP170",110,"IOM","0405","1","1"
"ACP049",110,"IOM","0405","1","1"
"ACP132",110,"IOM","0405","1","1"
"ACP074",110,"IOM","0405","1","1"
"ACP015",110,"IOM","0405","1","1"
"ACP015",110,"IOM","0405","2","2"
"ACP120",110,"IOM","0405","1","1"
"ACP198",110,"IOM","0405","1","1"
"ACP175",110,"IOM","0405","1","1"
"ACP105",110,"IOM","0405","1","1"
"ACP031",110,"IOM","0405","1","1"
"ACP045",110,"IOM","0405","1","1"
"ACP210",110,"IOM","0405","1","1"
"ACP121",110,"IOM","0405","1","1"
"ACP186",110,"IOM","0405","1","1"
"ACP094",110,"IOM","0405","1","1"
"ACP097",110,"IOM","0405","1","1"
"ACP203",110,"IOM","0405","1","1"
"ACP185",110,"IOM","0405","1","1"
"ACP064",110,"IOM","0405","1","1"
"ACP055",110,"IOM","0405","1","1"
"ACP177",110,"IOM","0405","2","2"
"ACP177",110,"IOM","0405","1","1"
"ACP078",110,"IOM","0405","1","1"
"ACP143",110,"IOM","0405","1","1"
"ACP065",110,"IOM","0405","1","1"
"ACP033",110,"IOM","0405","1","1"
"ACP193",110,"IOM","0405","1","1"
"ACP191",110,"IOM","0405","1","1"
"ACP159",110,"IOM","0405","1","1"
"ACP004",110,"IOM","0405","1","1"
"ACP201",110,"IOM","0405","1","1"
"ACP002",110,"IOM","0405","1","1"
"ACP002",110,"IOM","0405","14","2"
"ACP040",110,"IOM","0405","1","1"
"ACP178",110,"IOM","0405","1","1"
"ACP269",110,"IOM","0405","1","1"
"ACP023",110,"IOM","0405","1","1"
"ACP111",110,"IOM","0405","1","1"
"ACP081",110,"IOM","0405","1","1"
"ACP030",110,"IOM","0405","1","1"
"ACP075",110,"IOM","0405","1","1"
"ACP013",110,"IOM","0405","1","1"
"ACP087",110,"IOM","0405","1","1"
"ACP136",110,"IOM","0405","1","1"
"ACP083",110,"IOM","0405","1","1"
"ACP083",110,"IOM","0405","44","2"
"ACP019",110,"IOM","0405","1","1"
"ACP036",110,"IOM","0405","1","1"
"ACP067",110,"IOM","0405","1","1"
"ACP179",110,"IOM","0405","1","1"
"ACP138",110,"IOM","0405","1","1"
"ACP149",110,"IOM","0405","1","1"
"ACP070",110,"IOM","0405","1","1"
"ACP093",110,"IOM","0405","1","1"
"ACP110",110,"IOM","0405","1","1"
"ACP101",110,"IOM","0405","1","1"
"ACP158",110,"IOM","0405","1","1"
"ACP145",110,"IOM","0405","1","1"
"ACP124",110,"IOM","0405","1","1"
"ACP021",110,"IOM","0405","1","1"
"ACP072",110,"IOM","0405","1","1"
"ACP011",110,"IOM","0405","1","1"
"ACP183",110,"IOM","0405","1","1"
"ACP156",110,"IOM","0405","1","1"
"ACP043",110,"IOM","0405","1","1"
"ACP161",110,"IOM","0405","1","1"
"ACP202",110,"IOM","0405","1","1"
"ACP042",110,"IOM","0405","1","1"
"ACP027",110,"IOM","0405","14","2"
"ACP027",110,"IOM","0405","1","1"
"ACP039",110,"IOM","0405","1","1"
"ACP071",110,"IOM","0405","1","1"
"ACP007",110,"IOM","0405","1","1"
"ACP080",110,"IOM","0405","1","1"
"ACP176",110,"IOM","0405","1","1"
"ACP128",110,"IOM","0405","1","1"
"ACP128",110,"IOM","0405","25","2"
"ACP079",110,"IOM","0405","1","1"
"ACP150",110,"IOM","0405","1","1"
"ACP165",110,"IOM","0405","1","1"
"ACP170",110,"IOM","0405","1","1"
"ACP049",110,"IOM","0405","1","1"
"ACP132",110,"IOM","0405","1","1"
"ACP074",110,"IOM","0405","1","1"
"ACP015",110,"IOM","0405","1","1"
"ACP015",110,"IOM","0405","2","2"
"ACP120",110,"IOM","0405","1","1"
"ACP198",110,"IOM","0405","1","1"
"ACP175",110,"IOM","0405","1","1"
"ACP105",110,"IOM","0405","1","1"
"ACP031",110,"IOM","0405","1","1"
"ACP045",110,"IOM","0405","1","1"
"ACP210",110,"IOM","0405","1","1"
"ACP121",110,"IOM","0405","1","1"
"ACP186",110,"IOM","0405","1","1"
"ACP094",110,"IOM","0405","1","1"
"ACP097",110,"IOM","0405","1","1"
"ACP203",110,"IOM","0405","1","1"
"ACP185",110,"IOM","0405","1","1"
"ACP064",110,"IOM","0405","1","1"
"ACP055",110,"IOM","0405","1","1"
"ACP177",110,"IOM","0405","2","2"
"ACP177",110,"IOM","0405","1","1"
"ACP078",110,"IOM","0405","1","1"
"ACP143",110,"IOM","0405","1","1"
"ACP065",110,"IOM","0405","1","1"
"ACP033",110,"IOM","0405","1","1"
"ACP193",110,"IOM","0405","1","1"
"ACP191",110,"IOM","0405","1","1"
"ACP159",110,"IOM","0405","1","1"
"ACP004",110,"IOM","0405","1","1"
"ACP201",110,"IOM","0405","1","1"
"ACP002",110,"IOM","0405","1","1"
"ACP002",110,"IOM","0405","14","2"
"ACP040",110,"IOM","0405","1","1"
"ACP178",110,"IOM","0405","1","1"
"ACP269",110,"IOM","0405","1","1"
"ACP023",110,"IOM","0405","1","1"
"ACP111",110,"IOM","0405","1","1"
"ACP081",110,"IOM","0405","1","1"
"ACP030",110,"IOM","0405","1","1"
"ACP075",110,"IOM","0405","1","1"
"ACP013",110,"IOM","0405","1","1"
"ACP087",110,"IOM","0405","1","1"
"ACP136",110,"IOM","0405","1","1"
"ACP083",110,"IOM","0405","1","1"
"ACP083",110,"IOM","0405","44","2"
"ACP019",110,"IOM","0405","1","1"
"ACP036",110,"IOM","0405","1","1"
"ACP067",110,"IOM","0405","1","1"
"ACP179",110,"IOM","0405","1","1"
"ACP138",110,"IOM","0405","1","1"
"ACP149",110,"IOM","0405","1","1"
"ACP070",110,"IOM","0405","1","1"
"ACP093",110,"IOM","0405","1","1"
"ACP110",110,"IOM","0405","1","1"
"ACP101",110,"IOM","0405","1","1"
"ACP158",110,"IOM","0405","1","1"
"ACP145",110,"IOM","0405","1","1"
"ACP124",110,"IOM","0405","1","1"
"ACP021",110,"IOM","0405","1","1"
"ACP072",110,"IOM","0405","1","1"
"ACP011",110,"IOM","0405","1","1"
"ACP183",110,"IOM","0405","1","1"
"ACP156",110,"IOM","0405","1","1"
"ACP043",110,"IOM","0405","1","1"
"ACP161",110,"IOM","0405","1","1"
"ACP202",110,"IOM","0405","1","1"
"ACP042",110,"IOM","0405","1","1"
"ACP027",110,"IOM","0405","14","2"
"ACP027",110,"IOM","0405","1","1"
"ACP039",110,"IOM","0405","1","1"
"ACP071",110,"IOM","0405","1","1"
"ACP007",110,"IOM","0405","1","1"
"ACP080",110,"IOM","0405","1","1"
"ACP176",110,"IOM","0405","1","1"
"ACP128",110,"IOM","0405","1","1"
"ACP128",110,"IOM","0405","25","2"
"ACP079",110,"IOM","0405","1","1"
"ACP150",110,"IOM","0405","1","1"
"ACP165",110,"IOM","0405","1","1"
"ACP170",110,"IOM","0405","1","1"
"ACP049",110,"IOM","0405","1","1"
"ACP132",110,"IOM","0405","1","1"
"ACP074",110,"IOM","0405","1","1"
"ACP015",110,"IOM","0405","1","1"
"ACP015",110,"IOM","0405","2","2"
"ACP120",110,"IOM","0405","1","1"
"ACP198",110,"IOM","0405","1","1"
"ACP175",110,"IOM","0405","1","1"
"ACP105",110,"IOM","0405","1","1"
"ACP031",110,"IOM","0405","1","1"
"ACP045",110,"IOM","0405","1","1"
"ACP210",110,"IOM","0405","1","1"
"ACP121",110,"IOM","0405","1","1"
"ACP186",110,"IOM","0405","1","1"
"ACP094",110,"IOM","0405","1","1"
"ACP097",110,"IOM","0405","1","1"
"ACP203",110,"IOM","0405","1","1"
"ACP185",110,"IOM","0405","1","1"
"ACP064",110,"IOM","0405","1","1"
"ACP055",110,"IOM","0405","1","1"
"ACP177",110,"IOM","0405","2","2"
"ACP177",110,"IOM","0405","1","1"
"ACP078",110,"IOM","0405","1","1"
"ACP143",110,"IOM","0405","1","1"
"ACP065",110,"IOM","0405","1","1"
"ACP033",110,"IOM","0405","1","1"
"ACP193",110,"IOM","0405","1","1"
"ACP191",110,"IOM","0405","1","1"
"ACP159",110,"IOM","0405","1","1"
"ACP004",110,"IOM","0405","1","1"
"ACP201",110,"IOM","0405","1","1"
"ACP002",110,"IOM","0405","1","1"
"ACP002",110,"IOM","0405","14","2"
"ACP040",110,"IOM","0405","1","1"
"ACP178",110,"IOM","0405","1","1"
"ACP269",110,"IOM","0405","1","1"
"ACP023",110,"IOM","0405","1","1"
"ACP111",110,"IOM","0405","1","1"
"ACP081",110,"IOM","0405","1","1"
"ACP030",110,"IOM","0405","1","1"
"ACP075",110,"IOM","0405","1","1"
"ACP013",110,"IOM","0405","1","1"
"ACP087",110,"IOM","0405","1","1"
"ACP136",110,"IOM","0405","1","1"
"ACP083",110,"IOM","0405","1","1"
"ACP083",110,"IOM","0405","44","2"
"ACP019",110,"IOM","0405","1","1"
"ACP036",110,"IOM","0405","1","1"
"ACP067",110,"IOM","0405","1","1"
"ACP179",110,"IOM","0405","1","1"
"ACP138",110,"IOM","0405","1","1"
"ACP149",110,"IOM","0405","1","1"
"ACP070",110,"IOM","0405","1","1"
"ACP093",110,"IOM","0405","1","1"
"ACP110",110,"IOM","0405","1","1"
